01;한국;B;1;13;4;1;0;11;4;7
02;카타르;A;4;7;2;1;2;10;12;-2
03;이라크;B;3;8;2;2;1;4;3;1
04;요르단;B;2;8;2;2;1;8;4;4
05;호주;C;2;6;1;3;1;4;3;1
06;네덜란드;A;2;8;2;2;1;12;6;6
07;조지아;B;2;7;2;1;2;6;4;2
08;에스토니;C;3;4;1;1;3;3;8;-5
09;안도라;D;3;0;0;0;3;0;4;-4
10;튀르키예;B;1;11;3;2;0;8;3;5
11;독일;A;1;13;4;1;0;17;3;14
12;우크라이;B;4;5;1;2;2;6;7;-1
13;아이슬란;B;3;7;2;1;2;9;9;0
14;아제르바;C;4;1;0;1;4;3;11;-8
