01;스파프라;;26;4;1;1;2;5;8;-3
02;바이뮌헨;;17;6;2;0;2;11;7;4
03;인테르;;5;10;3;1;0;6;0;6
04;스포르CP;;2;10;3;1;0;9;2;7
05;영보이스;;34;0;0;0;4;1;11;-10
06;츠르베나;;35;0;0;0;4;4;16;-12
07;S그라츠;;33;0;0;0;4;1;6;-5
08;리버풀;;1;12;4;0;0;10;1;9
09;PSV;;24;5;1;2;1;7;5;2
10;D자그레;;16;7;2;1;1;10;12;-2
11;셀틱;;15;7;2;1;1;9;9;0
12;AS모나코;;3;10;3;1;0;10;4;6
13;A빌라;;8;9;3;0;1;6;1;5
14;볼로냐;;31;1;0;1;3;0;5;-5
