05;케스톤 히우라;2루수;0;0.148;1;4;1;0;0
05;브랜든 드루리;3루수;4;0.169;15;55;28;1;27
05;미구엘 사노;3루수;2;0.205;6;17;9;0;9
05;에이르 아드리안자;3루수;1;0.192;2;5;4;0;2
05;앤서니 렌던;3루수;0;0.218;14;45;21;6;23
05;테일러 워드;우익수;25;0.246;75;144;73;6;63
05;잭 네토;유격수;23;0.249;77;135;70;30;39
05;루이스 렌히포;유격수;6;0.300;30;85;41;24;16
05;찰스 르블랑;유격수;2;0.190;6;4;6;0;7
05;키렌 패리스;유격수;1;0.118;5;6;4;1;7
05;콜 터커;유격수;0;0.180;3;9;3;3;6
05;조 아델;좌익수;20;0.207;62;84;54;15;35
05;윌리 칼혼;좌익수;5;0.245;20;56;26;0;23
05;구스타보 캄페로;좌익수;1;0.239;6;11;6;3;0
05;미키 모니악;중견수;14;0.219;49;86;48;8;21
05;마이크 트라웃;중견수;10;0.220;14;24;17;6;16
05;케빈 필라;중견수;8;0.229;45;65;38;12;16
05;조딘 아담스;중견수;1;0.229;4;8;4;2;3
05;애런 힉스;중견수;1;0.140;5;8;6;0;6
05;브라이스 테오도시오;중견수;0;0.083;0;1;1;0;0
05;로건 오하피;포수;20;0.244;56;117;64;2;33
05;맷 타이스;포수;2;0.204;16;32;14;3;28
06;블라디미르 게레로 주니어;1루수;30;0.323;103;199;98;2;72
06;스펜서 호위츠;1루수;12;0.265;40;87;46;0;42
06;어니 클레멘트;3루수;12;0.263;51;114;48;12;11
06;애디슨 바거;3루수;7;0.197;28;41;20;2;14
06;윌 와그너;3루수;2;0.305;11;25;8;0;4
06;루이스 데 로스 산토스;3루수;0;0.172;1;5;2;0;2
06;조지 스프링어;우익수;19;0.220;56;120;74;16;60
06;스튜어드 베로아;우익수;0;0.189;1;7;7;6;8
06;레오나르도 히메네즈;유격수;4;0.229;19;41;18;0;12
06;보 비셋;유격수;4;0.225;31;70;29;5;20
06;올레비스 마릇티;유격수;0;0.333;0;1;0;0;0
06;데이비스 슈나이더;좌익수;13;0.191;46;76;48;6;47
06;조나탄 클라세;좌익수;1;0.246;5;15;7;3;3
06;달튼 바쇼;중견수;18;0.214;58;98;73;10;48
06;조이 로퍼피도;중견수;4;0.214;25;52;24;4;13
06;나단 룩스;중견수;1;0.303;10;23;13;1;10
06;다니엘 보글백;지명타자;1;0.186;8;13;5;0;9
06;알레한드로 커크;포수;5;0.253;54;86;23;0;35
06;브라이언 서번;포수;0;0.159;3;10;6;0;5
06;타일러 하이네만;포수;0;0.083;0;1;2;0;3
07;마이클 토글리아;1루수;25;0.218;55;87;62;10;54
07;아다엘 아마도르;2루수;0;0.171;0;6;1;1;1
07;라이언 맥먼;3루수;20;0.242;65;137;68;4;69
07;엘레후리스 몬테로;3루수;4;0.205;28;46;23;0;20
07;놀란 존스;3루수;3;0.227;28;58;28;5;36
07;아론 슝크;3루수;2;0.234;7;22;14;0;4
07;크리스 브라이언트;3루수;2;0.218;15;29;9;0;13
07;헌터 굿맨;우익수;13;0.190;36;40;24;1;8
07;찰리 블랙몬;우익수;12;0.256;52;115;59;6;43
07;에즈키엘 토바;유격수;26;0.269;78;176;83;6;23
07;브랜든 로저스;유격수;13;0.267;54;134;67;1;31
07;그레그 존스;유격수;1;0.200;1;1;1;0;1
07;샘 힐리아드;좌익수;10;0.239;27;33;26;5;14
07;제이크 케이브;좌익수;7;0.251;37;81;42;5;18
07;조던 벡;좌익수;3;0.188;13;32;14;7;12
07;션 보차드;좌익수;1;0.187;8;17;14;4;12
07;브렌튼 도일;중견수;23;0.260;72;141;82;30;46
07;제이콥 스탈링스;포수;9;0.263;36;64;31;0;27
07;드류 로모;포수;0;0.176;6;9;4;0;2
08;크리스티안 워커;1루수;26;0.251;84;120;72;2;55
08;조쉬 벨;1루수;19;0.249;71;134;62;0;51
08;파빈 스미스;1루수;9;0.270;36;37;26;1;18
08;루이스 기요르메;2루수;0;0.231;3;24;6;1;11
08;제이스 피터슨;2루수;0;0.045;1;1;2;0;3
08;에우제니오 수아레즈;3루수;30;0.256;101;146;90;2;49
08;케빈 뉴먼;유격수;3;0.278;28;80;41;8;15
08;제랄도 페도모;유격수;3;0.273;37;92;61;9;36
08;블레이즈 알렉산더;유격수;3;0.247;21;41;19;3;15
08;작 피더슨;좌익수;23;0.275;64;101;62;7;55
08;루어데스 구리엘;좌익수;18;0.279;75;143;72;7;29
08;케텔 마르테;중견수;36;0.292;95;147;93;7;65
08;코빈 캐롤;중견수;22;0.231;74;136;121;35;73
08;랜달 그리칙;중견수;12;0.291;46;74;40;0;20
08;제이크 맥카시;중견수;8;0.285;56;126;66;25;31
08;알렉 토마스;중견수;3;0.189;17;18;13;4;7
08;호르헤 바로사;중견수;0;0.176;1;3;3;1;0
08;가브리엘 모레노;포수;5;0.266;45;81;39;3;41
08;아드리안 델 카스티요;포수;4;0.313;19;25;12;1;7
08;호세 에레라;포수;1;0.227;13;22;11;0;9
08;앤드류 키즈너;포수;1;0.167;9;15;5;0;1
09;루이스 우리아스;2루수;4;0.191;16;18;11;0;9
09;라이언 블리스;2루수;2;0.222;9;14;10;5;5
09;사마드 테일러;2루수;0;0.400;0;2;2;0;0
09;조슈아 로하스;3루수;8;0.225;31;95;48;10;46
09;타일러 로클리어;3루수;2;0.156;3;7;3;1;3
09;제이슨 보슬러;3루수;0;0.179;3;5;2;0;2
09;미치 해니거;우익수;12;0.208;44;79;42;0;40
09;도미닉 칸조네;우익수;8;0.196;17;33;20;1;18
09;호르헤 폴랑코;유격수;16;0.213;45;89;43;4;46
09;딜런 무어;유격수;10;0.201;42;74;53;32;53
09;J.P. 크로포드;유격수;9;0.202;37;79;55;5;52
09;레오나르도 리바스;유격수;0;0.233;8;17;10;3;10
09;랜디 아로자레나;좌익수;20;0.219;60;120;77;20;73
09;케이드 말로;좌익수;0;0.250;0;2;1;0;1
09;샘 해거티;좌익수;0;0.067;1;1;1;1;1
09;루크 레일리;중견수;22;0.243;58;98;58;11;27
09;훌리오 로드리게스;중견수;20;0.273;68;155;76;24;38
09;빅토르 로블레스;중견수;4;0.328;26;75;41;30;16
09;저스틴 터너;지명타자;11;0.259;55;119;59;0;59
09;칼 롤리;포수;34;0.220;100;120;73;6;70
09;미치 가버;포수;15;0.172;51;63;37;0;53
09;세비 사발라;포수;1;0.154;2;6;4;0;3
10;카를로스 산타나;1루수;23;0.238;71;124;63;4;65
10;에두아르드 줄리엔;2루수;8;0.199;21;53;36;6;33
10;카일 팔머;2루수;5;0.214;25;46;26;3;19
